order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-07-09,2022,Q3,7,July,Latin America,Mexico,Clothing,Shirts,Consumer,1,655,655.0,459.53,195.47,0.2984
2024-08-15,2024,Q3,8,August,Latin America,Brazil,Office Supplies,Pens,Corporate,1,608,608.0,324.25,283.75,0.4667
2023-11-18,2023,Q4,11,November,Asia Pacific,Japan,Clothing,Shoes,Corporate,2,358,716.0,542.85,173.15,0.2418
2024-08-15,2024,Q3,8,August,Latin America,Mexico,Office Supplies,Binders,Consumer,4,43,172.0,110.81,61.19,0.3557
2023-07-17,2023,Q3,7,July,Asia Pacific,Japan,Electronics,Accessories,Corporate,1,54,54.0,31.51,22.49,0.4166
2024-04-11,2024,Q2,4,April,Europe,France,Furniture,Chairs,Consumer,1,993,993.0,742.28,250.72,0.2525
2023-10-09,2023,Q4,10,October,Asia Pacific,China,Office Supplies,Pens,Home Office,5,855,4275.0,3084.56,1190.44,0.2785
2022-01-21,2022,Q1,1,January,Asia Pacific,China,Clothing,Shirts,Home Office,1,941,941.0,646.39,294.61,0.3131
2024-04-20,2024,Q2,4,April,Asia Pacific,Australia,Office Supplies,Paper,Corporate,3,605,1815.0,1396.74,418.26,0.2304
2022-06-16,2022,Q2,6,June,Latin America,Brazil,Office Supplies,Paper,Consumer,5,505,2525.0,1914.92,610.08,0.2416
2023-01-23,2023,Q1,1,January,Asia Pacific,Australia,Office Supplies,Paper,Consumer,1,441,441.0,250.5,190.5,0.432
2023-08-24,2023,Q3,8,August,North America,Canada,Office Supplies,Paper,Home Office,3,309,927.0,707.86,219.14,0.2364
2022-11-12,2022,Q4,11,November,Asia Pacific,Japan,Office Supplies,Binders,Consumer,4,309,1236.0,756.69,479.31,0.3878
2022-01-14,2022,Q1,1,January,Europe,Italy,Office Supplies,Paper,Corporate,1,38,38.0,23.92,14.08,0.3705
2022-08-30,2022,Q3,8,August,North America,Canada,Clothing,Shoes,Corporate,4,790,3160.0,2501.77,658.23,0.2083
2024-02-16,2024,Q1,2,February,Europe,France,Office Supplies,Paper,Home Office,1,647,647.0,470.99,176.01,0.272
2023-07-19,2023,Q3,7,July,Europe,Albania,Office Supplies,Binders,Consumer,5,311,1555.0,927.47,627.53,0.4036
2024-06-16,2024,Q2,6,June,Europe,Italy,Office Supplies,Pens,Corporate,5,791,3955.0,2746.26,1208.74,0.3056
2022-04-02,2022,Q2,4,April,North America,Canada,Furniture,Desks,Corporate,3,397,1191.0,788.2,402.8,0.3382
2024-08-13,2024,Q3,8,August,North America,USA,Electronics,Laptops,Corporate,2,173,346.0,185.1,160.9,0.465
2023-05-24,2023,Q2,5,May,Latin America,Mexico,Electronics,Phones,Consumer,3,734,2202.0,1687.45,514.55,0.2337
2024-02-15,2024,Q1,2,February,North America,USA,Electronics,Laptops,Home Office,1,662,662.0,494.23,167.77,0.2534
2022-02-04,2022,Q1,2,February,Asia Pacific,Japan,Clothing,Shoes,Home Office,4,147,588.0,431.19,156.81,0.2667
2022-07-25,2022,Q3,7,July,Europe,Italy,Clothing,Shirts,Corporate,4,452,1808.0,1207.28,600.72,0.3323
2024-10-22,2024,Q4,10,October,Latin America,Brazil,Clothing,Jackets,Home Office,1,796,796.0,450.74,345.26,0.4337
2024-10-18,2024,Q4,10,October,North America,Canada,Office Supplies,Binders,Corporate,2,833,1666.0,1274.77,391.23,0.2348
2023-07-20,2023,Q3,7,July,Europe,Germany,Electronics,Accessories,Corporate,2,981,1962.0,1188.76,773.24,0.3941
2023-12-04,2023,Q4,12,December,North America,USA,Office Supplies,Pens,Consumer,2,289,578.0,292.49,285.51,0.494
2023-02-06,2023,Q1,2,February,Latin America,Mexico,Furniture,Desks,Corporate,1,534,534.0,424.28,109.72,0.2055
2023-12-31,2023,Q4,12,December,North America,USA,Electronics,Laptops,Corporate,5,277,1385.0,1050.31,334.69,0.2417
2022-06-11,2022,Q2,6,June,North America,USA,Furniture,Tables,Consumer,5,361,1805.0,1239.68,565.32,0.3132
2022-07-21,2022,Q3,7,July,Europe,France,Furniture,Chairs,Consumer,1,521,521.0,262.44,258.56,0.4963
2024-09-22,2024,Q3,9,September,Asia Pacific,Japan,Office Supplies,Paper,Home Office,5,436,2180.0,1238.93,941.07,0.4317
2022-09-27,2022,Q3,9,September,North America,Canada,Electronics,Laptops,Consumer,2,119,238.0,151.28,86.72,0.3644
2024-03-26,2024,Q1,3,March,Latin America,Brazil,Furniture,Chairs,Corporate,5,413,2065.0,1421.6,643.4,0.3116
2023-04-01,2023,Q2,4,April,North America,Canada,Electronics,Accessories,Consumer,1,898,898.0,639.78,258.22,0.2876
2024-10-13,2024,Q4,10,October,North America,USA,Furniture,Desks,Consumer,5,72,360.0,265.13,94.87,0.2635
2022-10-23,2022,Q4,10,October,Asia Pacific,Japan,Furniture,Tables,Home Office,5,447,2235.0,1490.07,744.93,0.3333
2023-12-21,2023,Q4,12,December,Europe,Germany,Office Supplies,Pens,Consumer,5,697,3485.0,2428.54,1056.46,0.3031
2022-12-04,2022,Q4,12,December,Latin America,Mexico,Electronics,Laptops,Corporate,5,168,840.0,624.43,215.57,0.2566
2024-05-28,2024,Q2,5,May,Europe,Italy,Office Supplies,Binders,Corporate,1,694,694.0,496.87,197.13,0.284
2024-12-12,2024,Q4,12,December,Europe,Germany,Office Supplies,Binders,Corporate,3,470,1410.0,1108.89,301.11,0.2136
2024-03-02,2024,Q1,3,March,Europe,France,Office Supplies,Pens,Consumer,5,614,3070.0,2340.55,729.45,0.2376
2022-08-05,2022,Q3,8,August,North America,Canada,Office Supplies,Binders,Consumer,3,553,1659.0,913.79,745.21,0.4492
2024-02-03,2024,Q1,2,February,Asia Pacific,China,Office Supplies,Binders,Corporate,1,551,551.0,432.11,118.89,0.2158
2022-07-07,2022,Q3,7,July,North America,USA,Furniture,Chairs,Consumer,4,887,3548.0,1991.32,1556.68,0.4387
2023-01-15,2023,Q1,1,January,Latin America,Brazil,Electronics,Accessories,Home Office,3,742,2226.0,1774.97,451.03,0.2026
2023-05-08,2023,Q2,5,May,Asia Pacific,Japan,Electronics,Laptops,Home Office,1,385,385.0,273.5,111.5,0.2896
2024-11-30,2024,Q4,11,November,Europe,Albania,Office Supplies,Paper,Home Office,4,343,1372.0,944.29,427.71,0.3117
2022-01-15,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Laptops,Home Office,5,883,4415.0,2637.07,1777.93,0.4027
2022-03-06,2022,Q1,3,March,Latin America,Brazil,Furniture,Desks,Corporate,1,539,539.0,291.02,247.98,0.4601
2023-06-05,2023,Q2,6,June,North America,Canada,Office Supplies,Paper,Consumer,2,838,1676.0,901.44,774.56,0.4621
2023-10-10,2023,Q4,10,October,North America,Canada,Clothing,Shirts,Home Office,4,685,2740.0,2082.32,657.68,0.24
2024-12-22,2024,Q4,12,December,Europe,Albania,Clothing,Shoes,Corporate,2,582,1164.0,733.01,430.99,0.3703
2023-08-16,2023,Q3,8,August,North America,USA,Furniture,Tables,Home Office,5,265,1325.0,885.04,439.96,0.332
2023-01-27,2023,Q1,1,January,North America,Canada,Furniture,Desks,Consumer,5,468,2340.0,1824.15,515.85,0.2204
2023-02-23,2023,Q1,2,February,Latin America,Mexico,Clothing,Jackets,Home Office,3,173,519.0,299.26,219.74,0.4234
2022-10-16,2022,Q4,10,October,Asia Pacific,China,Office Supplies,Binders,Home Office,5,265,1325.0,966.17,358.83,0.2708
2023-01-14,2023,Q1,1,January,North America,Canada,Furniture,Chairs,Home Office,3,834,2502.0,1604.13,897.87,0.3589
2022-08-19,2022,Q3,8,August,Latin America,Brazil,Clothing,Jackets,Home Office,4,62,248.0,139.83,108.17,0.4362
2024-10-14,2024,Q4,10,October,Latin America,Mexico,Office Supplies,Pens,Consumer,2,412,824.0,622.85,201.15,0.2441
2022-02-10,2022,Q1,2,February,Europe,Italy,Furniture,Chairs,Corporate,4,182,728.0,512.5,215.5,0.296
2024-11-17,2024,Q4,11,November,Latin America,Brazil,Electronics,Laptops,Home Office,2,485,970.0,512.62,457.38,0.4715
2022-05-15,2022,Q2,5,May,Europe,France,Electronics,Accessories,Corporate,1,531,531.0,351.8,179.2,0.3375
2022-07-20,2022,Q3,7,July,North America,Canada,Electronics,Phones,Consumer,4,166,664.0,501.67,162.33,0.2445
2024-02-19,2024,Q1,2,February,Europe,Germany,Office Supplies,Pens,Consumer,1,963,963.0,500.84,462.16,0.4799
2024-07-18,2024,Q3,7,July,Latin America,Mexico,Furniture,Chairs,Home Office,2,867,1734.0,1083.55,650.45,0.3751
2024-11-22,2024,Q4,11,November,Asia Pacific,Australia,Clothing,Jackets,Corporate,3,175,525.0,389.32,135.68,0.2584
2024-12-07,2024,Q4,12,December,Asia Pacific,Australia,Furniture,Tables,Home Office,4,534,2136.0,1618.04,517.96,0.2425
2023-05-18,2023,Q2,5,May,North America,USA,Electronics,Phones,Consumer,4,165,660.0,483.52,176.48,0.2674
2023-02-11,2023,Q1,2,February,North America,USA,Electronics,Accessories,Home Office,3,531,1593.0,942.6,650.4,0.4083
2024-03-15,2024,Q1,3,March,Asia Pacific,China,Office Supplies,Pens,Home Office,3,288,864.0,563.4,300.6,0.3479
2022-04-09,2022,Q2,4,April,Europe,Italy,Clothing,Shirts,Corporate,5,430,2150.0,1553.12,596.88,0.2776
2023-11-15,2023,Q4,11,November,North America,USA,Office Supplies,Paper,Consumer,5,263,1315.0,717.7,597.3,0.4542
2023-12-27,2023,Q4,12,December,Latin America,Mexico,Clothing,Shoes,Home Office,2,315,630.0,427.45,202.55,0.3215
2024-08-18,2024,Q3,8,August,North America,Canada,Furniture,Chairs,Home Office,4,826,3304.0,2366.03,937.97,0.2839
2023-09-05,2023,Q3,9,September,Europe,Italy,Office Supplies,Pens,Home Office,3,333,999.0,754.24,244.76,0.245
2023-10-05,2023,Q4,10,October,North America,USA,Office Supplies,Binders,Corporate,3,588,1764.0,941.1,822.9,0.4665
2024-10-25,2024,Q4,10,October,Latin America,Mexico,Office Supplies,Paper,Consumer,1,299,299.0,179.07,119.93,0.4011
2023-05-18,2023,Q2,5,May,Latin America,Brazil,Electronics,Accessories,Home Office,5,496,2480.0,1642.99,837.01,0.3375
2024-02-06,2024,Q1,2,February,Latin America,Mexico,Electronics,Phones,Home Office,1,138,138.0,98.02,39.98,0.2897
2023-02-02,2023,Q1,2,February,Europe,France,Clothing,Jackets,Home Office,3,553,1659.0,1192.84,466.16,0.281
2024-05-20,2024,Q2,5,May,Europe,France,Furniture,Desks,Consumer,4,582,2328.0,1340.88,987.12,0.424
2024-03-05,2024,Q1,3,March,Latin America,Brazil,Office Supplies,Binders,Corporate,4,493,1972.0,994.21,977.79,0.4958
2023-01-28,2023,Q1,1,January,Latin America,Mexico,Electronics,Laptops,Corporate,1,231,231.0,163.58,67.42,0.2919
2022-07-26,2022,Q3,7,July,Europe,Germany,Office Supplies,Paper,Home Office,5,747,3735.0,2886.18,848.82,0.2273
2024-11-04,2024,Q4,11,November,Europe,Italy,Clothing,Shoes,Home Office,2,607,1214.0,897.46,316.54,0.2607
2024-06-10,2024,Q2,6,June,Europe,Albania,Clothing,Shirts,Corporate,4,485,1940.0,1332.28,607.72,0.3133
2024-05-13,2024,Q2,5,May,Asia Pacific,China,Furniture,Tables,Corporate,2,735,1470.0,1166.11,303.89,0.2067
2024-01-13,2024,Q1,1,January,Europe,Albania,Clothing,Shoes,Corporate,5,185,925.0,582.69,342.31,0.3701
2023-07-18,2023,Q3,7,July,Latin America,Mexico,Office Supplies,Paper,Home Office,1,499,499.0,328.1,170.9,0.3425
2024-10-17,2024,Q4,10,October,Asia Pacific,Australia,Furniture,Tables,Home Office,5,402,2010.0,1012.41,997.59,0.4963
2022-04-06,2022,Q2,4,April,Europe,Italy,Furniture,Tables,Corporate,3,80,240.0,188.11,51.89,0.2162
2023-04-30,2023,Q2,4,April,Latin America,Mexico,Electronics,Laptops,Corporate,5,836,4180.0,2821.52,1358.48,0.325
2022-08-19,2022,Q3,8,August,North America,USA,Office Supplies,Binders,Consumer,1,298,298.0,183.94,114.06,0.3828
2024-01-19,2024,Q1,1,January,Asia Pacific,Japan,Clothing,Shirts,Home Office,1,791,791.0,406.08,384.92,0.4866
2023-06-25,2023,Q2,6,June,Latin America,Brazil,Electronics,Accessories,Consumer,5,607,3035.0,1847.48,1187.52,0.3913
2024-11-25,2024,Q4,11,November,North America,USA,Office Supplies,Paper,Corporate,1,228,228.0,114.25,113.75,0.4989
2023-06-09,2023,Q2,6,June,Latin America,Mexico,Office Supplies,Paper,Home Office,3,1000,3000.0,1791.9,1208.1,0.4027
2023-08-01,2023,Q3,8,August,Europe,Italy,Furniture,Chairs,Home Office,2,56,112.0,87.97,24.03,0.2146
2023-11-13,2023,Q4,11,November,Europe,Italy,Furniture,Tables,Consumer,5,624,3120.0,1704.39,1415.61,0.4537
2023-07-11,2023,Q3,7,July,North America,USA,Office Supplies,Binders,Consumer,1,153,153.0,101.53,51.47,0.3364
2024-10-09,2024,Q4,10,October,Europe,Italy,Electronics,Accessories,Consumer,2,770,1540.0,856.22,683.78,0.444
2023-10-08,2023,Q4,10,October,Latin America,Mexico,Furniture,Tables,Consumer,3,431,1293.0,950.37,342.63,0.265
2024-03-06,2024,Q1,3,March,North America,USA,Furniture,Desks,Home Office,5,667,3335.0,2230.18,1104.82,0.3313
2024-11-17,2024,Q4,11,November,Latin America,Mexico,Office Supplies,Pens,Corporate,1,754,754.0,422.75,331.25,0.4393
2022-07-09,2022,Q3,7,July,Latin America,Mexico,Office Supplies,Binders,Corporate,2,167,334.0,253.8,80.2,0.2401
2023-09-25,2023,Q3,9,September,Latin America,Brazil,Furniture,Desks,Corporate,3,931,2793.0,2053.43,739.57,0.2648
2023-09-20,2023,Q3,9,September,Europe,Germany,Electronics,Phones,Consumer,4,416,1664.0,1306.89,357.11,0.2146
2024-08-30,2024,Q3,8,August,Europe,Albania,Furniture,Chairs,Corporate,1,271,271.0,135.55,135.45,0.4998
2023-12-11,2023,Q4,12,December,Latin America,Mexico,Office Supplies,Paper,Consumer,3,522,1566.0,997.75,568.25,0.3629
2023-10-11,2023,Q4,10,October,Asia Pacific,China,Furniture,Desks,Consumer,2,526,1052.0,841.55,210.45,0.2
2022-11-14,2022,Q4,11,November,Latin America,Brazil,Office Supplies,Pens,Corporate,5,610,3050.0,2267.24,782.76,0.2566
2023-11-15,2023,Q4,11,November,Latin America,Brazil,Furniture,Chairs,Corporate,2,263,526.0,394.18,131.82,0.2506
2023-10-26,2023,Q4,10,October,North America,Canada,Office Supplies,Binders,Corporate,5,849,4245.0,2913.51,1331.49,0.3137
2023-03-18,2023,Q1,3,March,Latin America,Mexico,Office Supplies,Paper,Home Office,3,992,2976.0,2124.48,851.52,0.2861
2023-07-18,2023,Q3,7,July,Europe,France,Electronics,Laptops,Consumer,3,386,1158.0,858.77,299.23,0.2584
2024-08-09,2024,Q3,8,August,North America,USA,Office Supplies,Binders,Home Office,2,469,938.0,494.97,443.03,0.4723
2023-11-30,2023,Q4,11,November,Asia Pacific,Australia,Furniture,Desks,Corporate,2,139,278.0,196.76,81.24,0.2922
2022-04-23,2022,Q2,4,April,North America,Canada,Office Supplies,Pens,Home Office,5,328,1640.0,1221.18,418.82,0.2554
2022-01-02,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Shoes,Home Office,1,653,653.0,334.51,318.49,0.4877
2023-10-04,2023,Q4,10,October,North America,Canada,Furniture,Tables,Corporate,2,231,462.0,272.17,189.83,0.4109
2022-08-08,2022,Q3,8,August,North America,USA,Electronics,Laptops,Corporate,1,303,303.0,180.95,122.05,0.4028
2024-05-04,2024,Q2,5,May,Asia Pacific,Japan,Furniture,Desks,Consumer,1,273,273.0,206.49,66.51,0.2436
2023-01-20,2023,Q1,1,January,Europe,Germany,Electronics,Phones,Consumer,1,549,549.0,403.02,145.98,0.2659
2024-12-12,2024,Q4,12,December,Europe,Italy,Clothing,Shoes,Home Office,3,282,846.0,589.6,256.4,0.3031
2023-12-31,2023,Q4,12,December,Europe,Germany,Electronics,Accessories,Corporate,3,296,888.0,658.38,229.62,0.2586
2022-09-04,2022,Q3,9,September,North America,USA,Office Supplies,Paper,Consumer,1,60,60.0,38.16,21.84,0.364
2024-04-15,2024,Q2,4,April,Latin America,Brazil,Clothing,Jackets,Consumer,1,442,442.0,337.01,104.99,0.2375
2022-07-22,2022,Q3,7,July,North America,USA,Clothing,Shirts,Home Office,3,988,2964.0,1690.26,1273.74,0.4297
2022-05-03,2022,Q2,5,May,Latin America,Mexico,Electronics,Accessories,Home Office,5,528,2640.0,1878.02,761.98,0.2886
2023-02-05,2023,Q1,2,February,Latin America,Mexico,Furniture,Chairs,Home Office,4,383,1532.0,877.11,654.89,0.4275
2024-02-06,2024,Q1,2,February,Europe,France,Electronics,Laptops,Corporate,2,925,1850.0,947.12,902.88,0.488
2022-10-21,2022,Q4,10,October,Latin America,Brazil,Electronics,Accessories,Consumer,1,562,562.0,328.91,233.09,0.4148
2022-10-07,2022,Q4,10,October,North America,USA,Clothing,Shirts,Consumer,3,829,2487.0,1611.26,875.74,0.3521
2024-06-02,2024,Q2,6,June,North America,USA,Office Supplies,Paper,Consumer,1,480,480.0,361.45,118.55,0.247
2022-07-17,2022,Q3,7,July,Europe,Albania,Furniture,Chairs,Home Office,1,472,472.0,308.05,163.95,0.3473
2024-09-08,2024,Q3,9,September,Asia Pacific,China,Electronics,Laptops,Corporate,1,334,334.0,184.95,149.05,0.4463
2024-01-22,2024,Q1,1,January,North America,Canada,Office Supplies,Pens,Home Office,1,649,649.0,517.79,131.21,0.2022
2022-05-24,2022,Q2,5,May,Latin America,Mexico,Office Supplies,Paper,Home Office,5,379,1895.0,1101.04,793.96,0.419
2023-09-01,2023,Q3,9,September,North America,Canada,Furniture,Tables,Corporate,2,253,506.0,402.57,103.43,0.2044
2022-07-06,2022,Q3,7,July,North America,Canada,Office Supplies,Binders,Corporate,2,953,1906.0,1488.4,417.6,0.2191
2023-04-09,2023,Q2,4,April,North America,USA,Electronics,Laptops,Home Office,3,62,186.0,123.27,62.73,0.3373
2023-10-22,2023,Q4,10,October,Asia Pacific,China,Clothing,Shoes,Corporate,5,247,1235.0,651.57,583.43,0.4724
2024-02-03,2024,Q1,2,February,Latin America,Brazil,Office Supplies,Binders,Home Office,5,917,4585.0,3249.04,1335.96,0.2914
2024-08-12,2024,Q3,8,August,Europe,France,Clothing,Shoes,Consumer,2,665,1330.0,1002.44,327.56,0.2463
2023-02-07,2023,Q1,2,February,North America,Canada,Furniture,Tables,Corporate,3,352,1056.0,669.07,386.93,0.3664
2022-05-27,2022,Q2,5,May,Latin America,Brazil,Furniture,Desks,Consumer,5,688,3440.0,1966.69,1473.31,0.4283
2024-05-13,2024,Q2,5,May,Latin America,Brazil,Office Supplies,Pens,Corporate,3,511,1533.0,1135.72,397.28,0.2592
2023-05-04,2023,Q2,5,May,Europe,Italy,Clothing,Shoes,Home Office,2,225,450.0,298.59,151.41,0.3365
2024-07-17,2024,Q3,7,July,North America,Canada,Electronics,Phones,Home Office,1,945,945.0,528.53,416.47,0.4407
2023-07-05,2023,Q3,7,July,Asia Pacific,Japan,Clothing,Shirts,Home Office,5,108,540.0,423.83,116.17,0.2151
2022-12-04,2022,Q4,12,December,Latin America,Mexico,Office Supplies,Paper,Home Office,3,955,2865.0,2247.39,617.61,0.2156
2024-05-21,2024,Q2,5,May,Europe,Germany,Clothing,Shoes,Home Office,1,118,118.0,71.99,46.01,0.3899
2023-10-03,2023,Q4,10,October,Asia Pacific,China,Clothing,Shirts,Home Office,2,56,112.0,58.15,53.85,0.4808
2023-04-18,2023,Q2,4,April,Latin America,Mexico,Furniture,Desks,Corporate,4,393,1572.0,1083.48,488.52,0.3108
2022-05-31,2022,Q2,5,May,North America,Canada,Office Supplies,Pens,Corporate,5,410,2050.0,1220.09,829.91,0.4048
2022-09-20,2022,Q3,9,September,Latin America,Brazil,Clothing,Jackets,Consumer,5,453,2265.0,1177.59,1087.41,0.4801
2022-05-24,2022,Q2,5,May,Asia Pacific,Australia,Office Supplies,Pens,Corporate,3,505,1515.0,1162.83,352.17,0.2325
2022-12-12,2022,Q4,12,December,Asia Pacific,Australia,Electronics,Laptops,Corporate,2,933,1866.0,1491.75,374.25,0.2006
2023-09-16,2023,Q3,9,September,North America,USA,Office Supplies,Pens,Consumer,2,411,822.0,497.41,324.59,0.3949
2024-10-13,2024,Q4,10,October,North America,USA,Electronics,Phones,Consumer,5,730,3650.0,2640.5,1009.5,0.2766
2024-05-30,2024,Q2,5,May,Europe,Germany,Office Supplies,Paper,Home Office,5,375,1875.0,974.5,900.5,0.4803
2022-01-02,2022,Q1,1,January,North America,USA,Office Supplies,Pens,Consumer,3,74,222.0,135.62,86.38,0.3891
2024-06-15,2024,Q2,6,June,Europe,Germany,Clothing,Jackets,Consumer,3,636,1908.0,1016.25,891.75,0.4674
2022-09-11,2022,Q3,9,September,Asia Pacific,Japan,Clothing,Jackets,Corporate,4,963,3852.0,1989.96,1862.04,0.4834
2023-03-29,2023,Q1,3,March,Asia Pacific,Japan,Electronics,Phones,Home Office,1,774,774.0,523.72,250.28,0.3234
2024-11-26,2024,Q4,11,November,Latin America,Mexico,Electronics,Phones,Consumer,3,605,1815.0,1344.21,470.79,0.2594
2024-10-11,2024,Q4,10,October,Latin America,Brazil,Furniture,Desks,Home Office,1,333,333.0,211.75,121.25,0.3641
2022-01-09,2022,Q1,1,January,Europe,Albania,Clothing,Shirts,Home Office,5,123,615.0,404.21,210.79,0.3427
2024-03-26,2024,Q1,3,March,North America,USA,Electronics,Phones,Consumer,4,752,3008.0,1748.31,1259.69,0.4188
2022-07-27,2022,Q3,7,July,North America,Canada,Clothing,Shoes,Consumer,4,35,140.0,100.93,39.07,0.2791
2023-02-08,2023,Q1,2,February,Latin America,Mexico,Office Supplies,Pens,Consumer,4,428,1712.0,1041.45,670.55,0.3917
2022-06-01,2022,Q2,6,June,Asia Pacific,China,Furniture,Desks,Consumer,2,48,96.0,49.94,46.06,0.4798
2022-02-23,2022,Q1,2,February,Europe,Albania,Clothing,Shoes,Home Office,5,795,3975.0,2184.87,1790.13,0.4503
2023-09-20,2023,Q3,9,September,Asia Pacific,China,Clothing,Shoes,Corporate,2,999,1998.0,1076.0,922.0,0.4615
2023-08-10,2023,Q3,8,August,Asia Pacific,Australia,Clothing,Shirts,Home Office,2,375,750.0,473.07,276.93,0.3692
2022-04-14,2022,Q2,4,April,North America,USA,Clothing,Shoes,Home Office,4,398,1592.0,827.15,764.85,0.4804
2022-09-11,2022,Q3,9,September,Europe,Germany,Electronics,Accessories,Home Office,2,714,1428.0,1059.5,368.5,0.2581
2023-05-25,2023,Q2,5,May,Asia Pacific,Japan,Electronics,Accessories,Consumer,5,583,2915.0,2251.55,663.45,0.2276
2022-04-09,2022,Q2,4,April,Latin America,Brazil,Furniture,Desks,Consumer,5,530,2650.0,1522.47,1127.53,0.4255
2022-06-02,2022,Q2,6,June,Latin America,Brazil,Office Supplies,Paper,Corporate,2,366,732.0,472.62,259.38,0.3543
2024-07-02,2024,Q3,7,July,North America,Canada,Office Supplies,Paper,Corporate,5,864,4320.0,2832.71,1487.29,0.3443
2024-05-27,2024,Q2,5,May,Latin America,Brazil,Furniture,Desks,Corporate,1,941,941.0,748.57,192.43,0.2045
2022-12-04,2022,Q4,12,December,Latin America,Mexico,Office Supplies,Pens,Home Office,2,637,1274.0,662.08,611.92,0.4803
2024-04-01,2024,Q2,4,April,Asia Pacific,Australia,Electronics,Phones,Corporate,4,522,2088.0,1462.36,625.64,0.2996
2024-08-14,2024,Q3,8,August,Latin America,Mexico,Clothing,Shirts,Home Office,4,44,176.0,106.26,69.74,0.3963
2022-06-10,2022,Q2,6,June,Latin America,Mexico,Office Supplies,Binders,Consumer,5,111,555.0,361.05,193.95,0.3495
2024-03-11,2024,Q1,3,March,Asia Pacific,Japan,Clothing,Shirts,Home Office,5,348,1740.0,983.29,756.71,0.4349
2023-02-02,2023,Q1,2,February,North America,USA,Clothing,Shirts,Consumer,4,908,3632.0,1990.6,1641.4,0.4519
2024-03-26,2024,Q1,3,March,North America,USA,Electronics,Accessories,Consumer,1,557,557.0,319.2,237.8,0.4269
2023-02-05,2023,Q1,2,February,Europe,Italy,Clothing,Jackets,Corporate,4,991,3964.0,2066.74,1897.26,0.4786
